time;ELECTRIC_POWER_TRAIN/CONTROL_SIGNALS_BUS/CONTROL_SIGNALS_BUS/DRIVING_MODE
0.009000;-0.74
0.075833;0.08
0.142667;1.88
0.209500;2.50
0.276333;3.31
0.343167;4.36
0.410000;5.53
0.476833;6.21
0.543667;7.42
0.610500;8.05
0.677333;9.08
0.744167;10.16
0.811000;11.49
0.877833;12.89
0.944667;13.88
1.011500;14.19
1.078333;15.91
1.145167;16.14
1.212000;17.47
1.278833;18.82
1.345667;19.76
1.412500;20.28
1.479333;21.51
1.546167;22.28
1.613000;23.77
1.679833;24.86
1.746667;25.95
1.813500;26.17
1.880333;27.93
1.947167;28.10
